event_date,event_name,,,,,,,,,,,,,
2/18/2013,The Terminals  / Holley 750 / No Good Reason / The Rotten Riffs,,,,,,,,,,,,,
2/19/2013,Decimus  / To The Wind  / Rosewood Harbor / Creep Status,,,,,,,,,,,,,
2/22/2013,WhiteCatPink / Pythian Whispers / CougarPants / Cerealman / Matty B,,,,,,,,,,,,,
2/23/2013,Fields of Elysium  / Eye of Minerva / Willow  / Eminent Terror / Silence of Versailles,,,,,,,,,,,,,
2/28/2013,Shawn James  / Smack Saturday / Free Radical String Band / Garrett Botkins,,,,,,,,,,,,,
3/1/2013,Punk show: Sub,,,,,,,,,,,,,
3/2/2013,Angry Hand of God / Cult of the Lost Cause / Permanent Collection  / Governors,,,,,,,,,,,,,
3/3/2013,Tiny Moving Parts  / Terra Alive  / Orphans / Hear The Sirens  CA) / NOTHING ,,,,,,,,,,,,,
3/4/2013,Black Sleep of Kali / Serial Hawk  / Godhunter  / Blighter / Hashtronaut,,,,,,,,,,,,,
3/5/2013,Comrades  / Johnny Edwards / Ruins of Harrappa / Autumn Creatures,,,,,,,,,,,,,
3/6/2013,"Toothgnasher, Carrot Eater, DJ Ritual, Betel Guese",,,,,,,,,,,,,
3/7/2013,The Saturday Giant  / Mechanical Roots / Hunter Dragon / The Carnivores,,,,,,,,,,,,,
3/8/2013,American Standards  / Your Young  / Anterroir / RSNN,,,,,,,,,,,,,
3/9/2013,Chatterbox / Insomniac Folklore  / Shawn James  / Free Radicals / Bearsnail,,,,,,,,,,,,,
3/10/2013,Handguns  / State Champs  / Head Injuries / Postcards,,,,,,,,,,,,,
3/13/2013,Bent Life  / Joy Subtraction / The Vassar Bastards ,,,,,,,,,,,,,
3/14/2013,Disapproval  / Civilized / Iron Grip / Low Tax,,,,,,,,,,,,,
3/15/2013,Springfield / Atticus Rex / Builder of the House  / Weatherer / Revival,,,,,,,,,,,,,
3/16/2013,Eye The Realist  / Erin Cookman / Shae and Alexi / Train to Brooklyn / High Tide Low Tide,,,,,,,,,,,,,
3/18/2013,Night Nurses / Guantanamo Baywatch  / SW/MM/NG   / Mechanical Roots / Milgram Lite,,,,,,,,,,,,,
3/20/2013,Pheromone  / Nasty Bunch of Bitches / All Waffle Trick / Nevayda Gunn,,,,,,,,,,,,,
3/21/2013,Remiss  / The Brixton Guns / Disposed / Johnny Edwards,,,,,,,,,,,,,
3/22/2013,RSNN / Oranges  / Stoic. / Triplip,,,,,,,,,,,,,
3/23/2013,PlanetRAWK  / Parafunk / Custodians  / Mop,,,,,,,,,,,,,
3/24/2013,Matt Pless  / The Rabbit Catcher / Erin Cookman / Insomnia's Dream,,,,,,,,,,,,,
3/25/2013,The Assasinators  / Spatgasm / Murder Hat,,,,,,,,,,,,,
3/26/2013,False Colours / The Windermeres / Black Dots / Finding Common Ground,,,,,,,,,,,,,
3/27/2013,Witchaven  / Exmortus  / Vomit Slaughter / ROÄC / Gomorrah,,,,,,,,,,,,,
3/28/2013,Page 27 / The KappaCell / Kid Mask / Floor Freakers / Lazers w/ Flesh,,,,,,,,,,,,,
3/29/2013,Orphans / Old Wounds / Vices / Slothclaw,,,,,,,,,,,,,
3/30/2013,Carpe Canem / Fuck Knowledge and Learning / Dripfed / Sargent Slaughter,,,,,,,,,,,,,
3/31/2013,The Nearly Deads / Lakeview Drive / Dawn of Exploration,,,,,,,,,,,,,
4/1/2013,"Protomartyr / Turn to Crime , The Carnivores, Jack's Smirking Revenge, Amigo the Devil ",,,,,,,,,,,,,
4/2/2013,Expire / Black Ice / Another Misake / Before We're Done / Of Feather and Bone,,,,,,,,,,,,,
4/4/2013,Captain Pacman / Minor Birds / Kat Jones / Matty B / Jon Alderhold,,,,,,,,,,,,,
4/5/2013,Fear the Calm / Suspects / Sub-City Culture / Casual Corruption,,,,,,,,,,,,,
4/6/2013,The A-OKs / Hatrick Penry / Head Injuries / The Brixton Guns / Landlocked ,,,,,,,,,,,,,
4/7/2013,One Way System  / Mass Terror  / Living Victim  / The Rotten Riffs / Criminal Mischief,,,,,,,,,,,,,
4/8/2013,Battlespawn / Trap Her Keep Her / Stay Wild / Dylan Rivetti,,,,,,,,,,,,,
4/9/2013,Before We're Done / The Greenery / To The Wind,,,,,,,,,,,,,
4/10/2013,Rival Summers / Lambs & Lions / Baby Gurl / The Hunger Artist,,,,,,,,,,,,,
4/11/2013,99TH 7TH CIRCLE SHOW PARTY!!,,,,,,,,,,,,,
4/12/2013,Raleigh / Dust:orbiter / Radio Budapest,,,,,,,,,,,,,
4/13/2013,AWESOME SOUL / R&B GROUP,,,,,,,,,,,,,
4/14/2013,Dark Mirror / Ancient Elm / Gomorrah / Willow  / Ashes of the Reign,,,,,,,,,,,,,
4/16/2013,Wounded Giant / In The Company of Serpents / Enemy Reign / Earth Burnt Black,,,,,,,,,,,,,
4/18/2013,Deadwolf / From Fifty To Phoenix / The Rotten Blue Menace / We Are Doom,,,,,,,,,,,,,
4/19/2013,Discount Cinema / Nasty Bunch of Bitches / Glass Homes / more TBA,,,,,,,,,,,,,
4/20/2013,Hatrick Penry / The A-OKs / Sunny Side Up / Machine Gun Vendetta / Plan B Rejects / Spatgasm,,,,,,,,,,,,,
4/25/2013,Vampirates / Straight Outta Luck / Too Late For Tomorrow / Plan B Rejects,,,,,,,,,,,,,
4/26/2013,Divided Heaven / Devon Hildebrandt / Pie Lombardi / Wandering,,,,,,,,,,,,,
4/27/2013,Leftmore / Johnny Edwards / Another Formation / Divide Zero / Byrgeau Noil,,,,,,,,,,,,,
4/29/2013,KDC / Suspects / Last Stop / more TBA,,,,,,,,,,,,,
5/1/2013,Thee S.O.B.s / Captain Blood / Days N Daze  / Criminal Mischief,,,,,,,,,,,,,
5/2/2013,Shantel Leitner / Kissing Party / Sedges Have Edges / Psalms / Everyone Except Me / more TBA,,,,,,,,,,,,,
5/4/2013,Smack Saturday / Forget The Forecast / A Life Worth Living / Another Mother / The Droogs,,,,,,,,,,,,,
5/5/2013,The Atom Age / The A-OKs / Convalescents / The Windermeres / Nasty Bunch of Bitches,,,,,,,,,,,,,
5/6/2013,Moonraker / All Waffle Trick / Good Sign / The Brown Noise,,,,,,,,,,,,,
5/7/2013,Psychosomatic / Wartorn / Moonraker / Dripfed / Antibuse,,,,,,,,,,,,,
5/8/2013,Icarus The Owl / Sovls / MBSE  / iluminado / Flagship,,,,,,,,,,,,,
5/9/2013,The Sheds / Landlocked / Vulture Culture / Twenty Year Push,,,,,,,,,,,,,
5/10/2013,James Houlahan / Laura Meyer / Slinghot Dakota / Pie Lombardi / Ben Kellogg,,,,,,,,,,,,,
5/12/2013,Joey Molinaro / A.M. Pleasure Assassins / Banned Books / Bizarre Learning Center / Mechanical Roots,,,,,,,,,,,,,
5/14/2013,Joey Molinaro / Triplip / The Munsens / We Are Erased,,,,,,,,,,,,,
5/15/2013,Total Chaos / PxPx / The Bad Engrish / The Rotten Riffs / Nasty Bunch of Bitches,,,,,,,,,,,,,
5/16/2013,Chalet Shalom / Aaron Peace / Maynard and the Walnut / Erika Ryann / The Strong Silent Type,,,,,,,,,,,,,
5/17/2013,TwoFold  / Dr. Zilog / Cloud Catcher / TBi,,,,,,,,,,,,,
5/18/2013,Little Miss and the No Names / World Pain / ROÄC / The Hacks,,,,,,,,,,,,,
5/19/2013,The Contortionist / Artemesis / Flagship / iluminado / The Panoramic / more TBA,,,,,,,,,,,,,
5/20/2013,Raleigh / Shahman / Steven Roth  / The Pigz,,,,,,,,,,,,,
5/24/2013,Mount Cairn / Belhor / Throne of Belial / Weaponizer / Horde of Draugar,,,,,,,,,,,,,
5/25/2013,Anchoress / Jack's Smirking Revenge / The Brixton Guns / more TBA,,,,,,,,,,,,,
5/27/2013,Tiger Lily / Family Thief / Postcards / Stay Awake / Lawsuit Models / The Bogarts,,,,,,,,,,,,,
5/28/2013,State Champs / Finding Common Ground / Jade Skyline / Houston's Problem,,,,,,,,,,,,,
5/29/2013,Dr. Drug and the Possible Side Effects / The Waffle Stompers / All Waffle Trick / Good Sign / Party Boys of the Century,,,,,,,,,,,,,
5/30/2013,"Native Daughters / Pride and Ego Down (Cologne, GER",,,,,,,,,,,,,
5/31/2013,Tigers Jaw / Pianos Become the Teeth / Sainthood Reps / Sleeping Weather,,,,,,,,,,,,,
6/1/2013,Postcards / The Rotten Blue Menace / Pimpbot  / Landlocked,,,,,,,,,,,,,
6/2/2013,Caravels / Anterroir / Orphans / Rosedale / more TBA,,,,,,,,,,,,,
6/3/2013,Dérive / We Are Erased / more TBA,,,,,,,,,,,,,
6/4/2013,The Autonomics / A Happy Death / The Droogs / Wandering / Train to Brooklyn,,,,,,,,,,,,,
6/5/2013,BOYS / St Ranger / Mechanical Roots / Anonymous Contributors / more TBA,,,,,,,,,,,,,
6/6/2013,Revolution Circus / Samvega / Nevayda Gunn  / Tall City ,,,,,,,,,,,,,
6/7/2013,Lenny's Reign of Terror / Spatgasm / The Rockin' Rascals / Police Lingo,,,,,,,,,,,,,
6/8/2013,Triplip / Slothclaw / Nice Try / The Rockin' Rascals / Police Lingo,,,,,,,,,,,,,
6/9/2013,Weatherer  / Tall City / Alex Krug / Matty FX,,,,,,,,,,,,,
6/10/2013,Daytripper / Flagship / Battlespawn / Sergeant Slaughter,,,,,,,,,,,,,
6/11/2013,"Discourse, COTV, Orphans, Perspective",,,,,,,,,,,,,
6/12/2013,No Tide / Pikes / Lawsuit Models / The Windermeres / Parkview,,,,,,,,,,,,,
6/14/2013,Koji  / Turnover / Ivy League / Have Mercy / Jack's Smirking Revenge,,,,,,,,,,,,,
6/15/2013,The Repercussions / Arise The Lie / The A-OKs / Gomorrah / Vomit Slaughter / FACA,,,,,,,,,,,,,
6/16/2013,D.I. / PxPx / Truckasaurus / Joy Subtraction / Police Lingo,,,,,,,,,,,,,
6/17/2013,Courtney Marie Andrews / Maynard and the Walnut / Pretty. Loud. / Wandering / Le Batards,,,,,,,,,,,,,
6/19/2013,Pyroklast / Panther / Disaster Strikes / Titan Arum / Cloud Catcher / more TBA,,,,,,,,,,,,,
6/20/2013,"Evilive (Misfits), The Ghoulies (Green Day), Nasty Bunch of Bitches (Anti-Flag), Flak Bag (Black Flag)",,,,,,,,,,,,,
6/21/2013,Anterroir CD RELEASE!! / Orphans / Creep Status / Rosewood Harbor,,,,,,,,,,,,,
6/22/2013,Kitezh  / GOG / Before The Eyewall / Wayfarer,,,,,,,,,,,,,
6/23/2013,The Manchurian Incident / Justen Hamilton / Chambers / The Droogs,,,,,,,,,,,,,
6/24/2013,Potato Pirates / Save The Swim Team / Survey Says / A-Ok's / Repercussions,,,,,,,,,,,,,
6/25/2013,Daikaiju / Captain Blood / TripLip / Facial / Faded Freakshow in between acts,,,,,,,,,,,,,
6/26/2013,Verbal Abuse / In Defence / Humungus / Gomorrah / Solarfall,,,,,,,,,,,,,
6/27/2013,Chase Ambler / Dad Punchers / Alex Culbreth / Jack's Smirking Revenge / Benjamin Kellogg,,,,,,,,,,,,,
6/28/2013,"Wasteland Denver Day 1 - Brutally Frank (Joplin, MO) / RSNN / Dresden (WI) / The Parish (WI) / Volr / Drunk Diggery",,,,,,,,,,,,,
6/29/2013,"Wasteland Denver Day 2 - Shining Path / Vomit Slaughter / Those Goddamn Jerkoffs (ABQ, NM) / World Pain / Red Vs Black",,,,,,,,,,,,,
6/30/2013,Wasteland Denver Day 3 - 3BA / Blighter / Carpe Canem / Awaken the Masses / Polyphonic / TripLip,,,,,,,,,,,,,
7/1/2013,Stay Awake / Time and Distance  / Rosedale  / Comeback / Divide Zero,,,,,,,,,,,,,
7/2/2013,The Ill Motion / Lights on for Safety / Dividing The Skyline / The Rockin' Rascals / Parkview,,,,,,,,,,,,,
7/3/2013,Combat Crisis / Violent Affair / Spatgasm / Criminal Mischief,,,,,,,,,,,,,
7/4/2013,Dividing the Skyline / Disposed / Dawn of Exploration / Ryan Werner  / Justin Daugherty  / more TBA,,,,,,,,,,,,,
7/5/2013,Trust Fall / Oryx / VOLR / Night of the Living Shred / more TBA,,,,,,,,,,,,,
7/6/2013,"Casual Corruption, Plan-B Rejects, Drunk Diggery, Broken Bow, Spatgasm, Blind Man Deaf Boy, and Lyin' Bitch and the Restraining Orders",,,,,,,,,,,,,
7/7/2013,Rational Anthem / Nasty Bunch of Bitches / The Larimers ,,,,,,,,,,,,,
7/7/2013,Capsize / Sovls / No Omega / Says The Snake / Catholic Girls / Black Mask ,,,,,,,,,,,,,
7/8/2013,Rational Anthem / The World is a Beautiful Place & I am No Longer Afraid to Die / Dads / Pity Sex / Black Mask / Autumn Creatures / Johnny Edwards,,,,,,,,,,,,,
7/9/2013,Mixtapes / You Blew It / Light Years / Head Injuries / Jack's Smirking Revenge,,,,,,,,,,,,,
7/10/2013,"Badger, Vomit Slaughter, and Doersovit",,,,,,,,,,,,,
7/11/2013,Plan B Rejects / Bad Engrish / The DUI'S / 99 Bottles / The Smash n' Grabs,,,,,,,,,,,,,
7/12/2013,Deep Satisfaction / Instant Empire / The Outfit / Opportunist  / The War Parts / One more last,,,,,,,,,,,,,
7/13/2013,Willow / Echo / Triplip / Murder Cafe / Earth Burnt Black,,,,,,,,,,,,,
7/14/2013,Gomorrah / Vomit Slaughter / Solarfall / The Rotten Blue Menace / Rainbowdragoneyes / Glutgnar,,,,,,,,,,,,,
7/15/2013,William Bonney / Illustrations / Johnny Edwards / Comrades / Shawn James / Smack Saturday,,,,,,,,,,,,,
7/16/2013,Mrs. Skannotto / Head Injuries / Good Sign / False Colours / All Waffle Trick,,,,,,,,,,,,,
7/17/2013,First Things First / Wings To Save / Dawn of Exploration / Parkview / Young and Heartless,,,,,,,,,,,,,
7/18/2013,City Mouse  / Black Dots / The Coffeemakers / Lawsuit Models / Shock Troopers ,,,,,,,,,,,,,
7/19/2013,"Sound of the Stereo (Bailed, no call",,,,,,,,,,,,,
7/20/2013,Silence of Versailles / The Dawn Chose Orion / Th eGreat Western Slaughter Factory,,,,,,,,,,,,,
7/22/2013,he A-OKs / Night Gaunts  / Days N Daze / The Sheds / High (Sub-City Culture) / Chatterbox and the Latter Day Satanists,,,,,,,,,,,,,
7/23/2013,Moving Forward  / Outdoor Velour / Headway / Twenty Year Push / Seeking Exotica / more TBA,,,,,,,,,,,,,
7/24/2013,Thieves  / Current Youth / Byrgeau Noil / more TBA,,,,,,,,,,,,,
7/25/2013,Jake Paul Band  / Kingman Brewster  / Wandering  / Alterity  / The Pigz ,,,,,,,,,,,,,
7/26/2013,Revival  / The Feeble Contenders / Shawn Waters / Bloom,,,,,,,,,,,,,
7/28/2013,Set and Setting  / Poney / Solterra / Caust  / more TBA,,,,,,,,,,,,,
7/29/2013,Koda Sequoia / Mitts / Communist Kayte / Eat The Sun / Serious Custard / more TBA,,,,,,,,,,,,,
7/30/2013,Cassiopeia / Ghosts of Glaciers / Autumn Creatures / Izalith  more TBA,,,,,,,,,,,,,
8/1/2013,No Excuse for a Cheap Suit / Eval Hertz / Modern Baseball / Last Stop / more TBA,,,,,,,,,,,,,
8/2/2013,State Faults / Strike to Survive / Au Revoir  / 2194  / Blurry Vision  / more TBA,,,,,,,,,,,,,
8/4/2013,Ska'tTsmen  / Boldtype  / The Semester Review  / Jade Skyline / more TBA,,,,,,,,,,,,,
8/5/2013,Nevayda Gunn / Flint Blade and Honeydew / Foans / Gdtm  / Anahedron / My Beautiful Leah ,,,,,,,,,,,,,
8/6/2013,Darrow Chemical Company / Capt Blood / Side Effects / Even Death May Die,,,,,,,,,,,,,
8/7/2013,iluminado / Keith Moody / Bishop / Icarus The Owl / Facial / Revival,,,,,,,,,,,,,
8/8/2013,Allout Helter / The Shell Corporation / Black Dots / Lawsuit Models / Self Proclaimed Narcissist,,,,,,,,,,,,,
8/9/2013,Jensen Harper / Cait Black / Wandering / Robert Richmond / Bloom,,,,,,,,,,,,,
8/10/2013,Living Victim / Bottom Bracket / The Rotten Blue Menace / Good Sign / The Rockin' Rascals / Shining Path / Casual Corruption / more TBA,,,,,,,,,,,,,
8/11/2013,Beneath Oblivion / Cloud Catcher / Blighter / WhiteWitch / Dead Temple,,,,,,,,,,,,,
8/12/2013,Craig Cady & Lucas Carey  / Mr. Fisher and the Hospitality / Tigon  / For The Win (San Diego,,,,,,,,,,,,,
8/13/2013,WARTORN / CASCABEL / BURNING MONK / more TBA?,,,,,,,,,,,,,
8/15/2013,Same Difference  / Callow  more TBA,,,,,,,,,,,,,
8/16/2013,The Hung Ups / Murder The Cat / Skinny Pigeons / more TBA,,,,,,,,,,,,,
8/17/2013,Dreadnought / Ghosts of Glaciers / Vestiges (WA) / Sky Burial (TN) / Solterra / more TBA,,,,,,,,,,,,,
8/18/2013,Fifteen Dead  / Population Zero  / Plan B Rejects / Juicy Karkass / more TBA,,,,,,,,,,,,,
8/19/2013,Truckasaurus / Tight Bros  / Kingmaker  / Bridges Will Break ,,,,,,,,,,,,,
8/20/2013,Sweet Weapons / Sleeping Weather / Chase Ambler / Disaster Canyon,,,,,,,,,,,,,
8/21/2013,Gentlemen / Fire Nuns / Imaginary Points / The Drunken Cuddle,,,,,,,,,,,,,
8/22/2013,Rum Rebellion  / Insomniac Folklore  / Spatgasm / The Rockin' Rascals / more TBA,,,,,,,,,,,,,
8/23/2013,Phavian  / Death Bed Confession  / Solarfall / Flagship / 016 / Hammer Mountain,,,,,,,,,,,,,
8/24/2013,Torey's going away show,,,,,,,,,,,,,
8/25/2013,We Were There / Opposition Rising / Colonia / DethNDK,,,,,,,,,,,,,
8/27/2013,Sloths / Emily & The Complexes  / Burning Ghats  more TBA,,,,,,,,,,,,,
8/30/2013,"Todd McMullan, Ben Kellogg, Erin Cookman, Jordan Pepper, David",,,,,,,,,,,,,
